Artist,Song
Morgan Wallen,Last Night
Miley Cyrus,Flowers
Luke Combs,Fast Car
Jimin,Like Crazy (Deep House Remix)
Rema & Selena Gomez,Calm Down
Taylor Swift,Anti-Hero
Jimin,Like Crazy (UK Garage Remix)
Jimin,Like Crazy (Instrumental)
Lainey Wilson,Heart Like A Truck
Ed Sheeran,Eyes Closed
Lauren Daigle,You Say
Coi Leray,Players
Morgan Wallen,Thought You Should Know
Jimin,Like Crazy (English Version)
Morgan Wallen,Thinkin’ Bout Me
Kane Brown & Katelyn Brown,Thank God
Jimin,Like Crazy
Lauren Daigle,Thank God I Do
LINKIN PARK,Fighting Myself
Luke Combs,Love You Anyway
P!nk,TRUSTFALL
Luke Combs,Growin' Up and Gettin' Old
Blake Shelton,God's Country
Luke Combs,5 Leaf Clover
Paris Paloma,labour
Bailey Zimmerman,Rock and a Hard Place
Morgan Wallen,Wasted On You
Lauren Daigle,Rescue
HARDY & Lainey Wilson,wait in the truck
Toosii,Favorite Song
Sia,Unstoppable
OneRepublic,I Ain't Worried
SZA,Kill Bill
Drake Milligan,Sounds Like Something I'd Do
Melanie Martinez,VOID
Jelly Roll,NEED A FAVOR
Taylor Swift,All Of The Girls You Loved Before
Donald J. Trump & J6 Prison Choir,Justice for All
Morgan Wallen,You Proof
Michael Giacchino,Life's Incredible Again
Miguel,Sure Thing
Zach Bryan,Something in the Orange (Z&E's Version)
Chris Stapleton,Tennessee Whiskey
Morgan Wallen,One Thing At A Time
Meghan Trainor,Made You Look
Katy Nichole,In Jesus Name (God Of Possible)
Morgan Wallen,Chasin' You
Harry Styles,As It Was
David Guetta & Bebe Rexha,I'm Good (Blue)
Miley Cyrus,Rainbowland (feat. Dolly Parton)
Lady Gaga,Hold My Hand
Phil Wickham,This Is Our God
Brandon Lake,Gratitude
Josh Groban,You Raise Me Up
Ed Sheeran,Eyes Closed
3 Doors Down,Here Without You
LINKIN PARK,Lost
Jelly Roll,Son Of A Sinner
Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)
Fleetwood Mac,Everywhere
Tyler Hubbard,Dancin’ In The Country
Parker McCollum,Handle On You
Daisy Jones & The Six,Look At Us Now (Honeycomb)
Russ,NASTY
RAYE & 070 Shake,Escapism.
Meghan Trainor,Mother
Sam Smith & Kim Petras,Unholy
Lady Gaga,Bloody Mary
PinkPantheress & Ice Spice,"Boy's a liar, Pt. 2"
Randy Travis,"Forever and Ever, Amen"
Jimin,"Set Me Free, Pt. 2"
Morgan Wallen,I Wrote The Book
KAROL G & Shakira,TQG
JVKE,golden hour
Lauren Daigle,Hold On To Me
Fastball,Out of My Head
P!nk,Just Give Me a Reason (feat. Nate Ruess)
Bad Omens,Just Pretend
Elevation Worship,More Than Able (feat. Chandler Moore & Tiffany Hudson)
Carly Pearce,What He Didn't Do
Luke Combs,"Going, Going, Gone"
ROSALÍA & Rauw Alejandro,BESO
BAD OPTIX,Raid
Tiësto & Tate McRae,10:35
The Weeknd & Ariana Grande,Die For You (Remix)
Niall Horan,Heaven
Taylor Swift,Lavender Haze
Coco Jones,ICU
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Tom MacDonald & John Rich,End of the World
Cole Swindell,She Had Me At Heads Carolina
Gasteiz Big Band,Life’s Incredible Again
Katy Nichole & Big Daddy Weave,God Is In This Story
Ed Sheeran,Shivers
Morgan Wallen,Whiskey Glasses
Morgan Wallen,Cowgirls (feat. ERNEST)
Blake Shelton,God Gave Me You
Megan Moroney,Tennessee Orange
Rema,Calm Down
Jimin,Face-off
